text,book
education and habitual study to decide on what is right than a young,Pride & Prejudice
"lady like yourself."" And with a low bow he left her to attack Mr.",Pride & Prejudice
"Darcy, whose reception of his advances she eagerly watched, and whose",Pride & Prejudice
astonishment at being so addressed was very evident. Her cousin prefaced,Pride & Prejudice
his speech with a solemn bow and though she could not hear a word of,Pride & Prejudice
"it, she felt as if hearing it all, and saw in the motion of his lips the",Pride & Prejudice
"words ""apology,"" ""Hunsford,"" and ""Lady Catherine de Bourgh."" It vexed",Pride & Prejudice
her to see him expose himself to such a man. Mr. Darcy was eyeing him,Pride & Prejudice
"with unrestrained wonder, and when at last Mr. Collins allowed him time",Pride & Prejudice
"to speak, replied with an air of distant civility. Mr. Collins, however,",Pride & Prejudice
"was not discouraged from speaking again, and Mr. Darcy's contempt seemed",Pride & Prejudice
"abundantly increasing with the length of his second speech, and at the",Pride & Prejudice
"end of it he only made him a slight bow, and moved another way. Mr.",Pride & Prejudice
Collins then returned to Elizabeth.,Pride & Prejudice
,Pride & Prejudice
"""I have no reason, I assure you,"" said he, ""to be dissatisfied with my",Pride & Prejudice
reception. Mr. Darcy seemed much pleased with the attention. He answered,Pride & Prejudice
"me with the utmost civility, and even paid me the compliment of saying",Pride & Prejudice
that he was so well convinced of Lady Catherine's discernment as to be,Pride & Prejudice
certain she could never bestow a favour unworthily. It was really a very,Pride & Prejudice
"handsome thought. Upon the whole, I am much pleased with him.""",Pride & Prejudice
,Pride & Prejudice
"As Elizabeth had no longer any interest of her own to pursue, she turned",Pride & Prejudice
her attention almost entirely on her sister and Mr. Bingley; and the,Pride & Prejudice
"train of agreeable reflections which her observations gave birth to,",Pride & Prejudice
made her perhaps almost as happy as Jane. She saw her in idea settled in,Pride & Prejudice
"that very house, in all the felicity which a marriage of true affection",Pride & Prejudice
"could bestow; and she felt capable, under such circumstances, of",Pride & Prejudice
endeavouring even to like Bingley's two sisters. Her mother's thoughts,Pride & Prejudice
"she plainly saw were bent the same way, and she determined not to",Pride & Prejudice
"venture near her, lest she might hear too much. When they sat down to",Pride & Prejudice
"supper, therefore, she considered it a most unlucky perverseness which",Pride & Prejudice
placed them within one of each other; and deeply was she vexed to find,Pride & Prejudice
"that her mother was talking to that one person (Lady Lucas) freely,",Pride & Prejudice
"openly, and of nothing else but her expectation that Jane would soon",Pride & Prejudice
"be married to Mr. Bingley. It was an animating subject, and Mrs. Bennet",Pride & Prejudice
seemed incapable of fatigue while enumerating the advantages of the,Pride & Prejudice
"match. His being such a charming young man, and so rich, and living but",Pride & Prejudice
"three miles from them, were the first points of self-gratulation; and",Pride & Prejudice
then it was such a comfort to think how fond the two sisters were of,Pride & Prejudice
"Jane, and to be certain that they must desire the connection as much as",Pride & Prejudice
"she could do. It was, moreover, such a promising thing for her younger",Pride & Prejudice
"daughters, as Jane's marrying so greatly must throw them in the way of",Pride & Prejudice
"other rich men; and lastly, it was so pleasant at her time of life to be",Pride & Prejudice
"able to consign her single daughters to the care of their sister, that",Pride & Prejudice
she might not be obliged to go into company more than she liked. It was,Pride & Prejudice
"necessary to make this circumstance a matter of pleasure, because on",Pride & Prejudice
such occasions it is the etiquette; but no one was less likely than Mrs.,Pride & Prejudice
Bennet to find comfort in staying home at any period of her life. She,Pride & Prejudice
concluded with many good wishes that Lady Lucas might soon be equally,Pride & Prejudice
"fortunate, though evidently and triumphantly believing there was no",Pride & Prejudice
chance of it.,Pride & Prejudice
,Pride & Prejudice
In vain did Elizabeth endeavour to check the rapidity of her mother's,Pride & Prejudice
"words, or persuade her to describe her felicity in a less audible",Pride & Prejudice
"whisper; for, to her inexpressible vexation, she could perceive that the",Pride & Prejudice
"chief of it was overheard by Mr. Darcy, who sat opposite to them. Her",Pride & Prejudice
mother only scolded her for being nonsensical.,Pride & Prejudice
,Pride & Prejudice
"""What is Mr. Darcy to me, pray, that I should be afraid of him? I am",Pride & Prejudice
sure we owe him no such particular civility as to be obliged to say,Pride & Prejudice
"nothing _he_ may not like to hear.""",Pride & Prejudice
,Pride & Prejudice
"""For heaven's sake, madam, speak lower. What advantage can it be for you",Pride & Prejudice
to offend Mr. Darcy? You will never recommend yourself to his friend by,Pride & Prejudice
"so doing!""",Pride & Prejudice
,Pride & Prejudice
"Nothing that she could say, however, had any influence. Her mother would",Pride & Prejudice
talk of her views in the same intelligible tone. Elizabeth blushed and,Pride & Prejudice
blushed again with shame and vexation. She could not help frequently,Pride & Prejudice
"glancing her eye at Mr. Darcy, though every glance convinced her of what",Pride & Prejudice
"she dreaded; for though he was not always looking at her mother, she was",Pride & Prejudice
convinced that his attention was invariably fixed by her. The expression,Pride & Prejudice
of his face changed gradually from indignant contempt to a composed and,Pride & Prejudice
steady gravity.,Pride & Prejudice
,Pride & Prejudice
"At length, however, Mrs. Bennet had no more to say; and Lady Lucas, who",Pride & Prejudice
had been long yawning at the repetition of delights which she saw no,Pride & Prejudice
"likelihood of sharing, was left to the comforts of cold ham and",Pride & Prejudice
chicken. Elizabeth now began to revive. But not long was the interval of,Pride & Prejudice
"tranquillity; for, when supper was over, singing was talked of, and",Pride & Prejudice
"she had the mortification of seeing Mary, after very little entreaty,",Pride & Prejudice
preparing to oblige the company. By many significant looks and silent,Pride & Prejudice
"entreaties, did she endeavour to prevent such a proof of complaisance,",Pride & Prejudice
but in vain; Mary would not understand them; such an opportunity of,Pride & Prejudice
"exhibiting was delightful to her, and she began her song. Elizabeth's",Pride & Prejudice
"eyes were fixed on her with most painful sensations, and she watched her",Pride & Prejudice
progress through the several stanzas with an impatience which was very,Pride & Prejudice
"ill rewarded at their close; for Mary, on receiving, amongst the thanks",Pride & Prejudice
"of the table, the hint of a hope that she might be prevailed on to",Pride & Prejudice
"favour them again, after the pause of half a minute began another.",Pride & Prejudice
Mary's powers were by no means fitted for such a display; her voice was,Pride & Prejudice
"weak, and her manner affected. Elizabeth was in agonies. She looked at",Pride & Prejudice
"Jane, to see how she bore it; but Jane was very composedly talking to",Pride & Prejudice
"Bingley. She looked at his two sisters, and saw them making signs",Pride & Prejudice
"of derision at each other, and at Darcy, who continued, however,",Pride & Prejudice
imperturbably grave. She looked at her father to entreat his,Pride & Prejudice
"interference, lest Mary should be singing all night. He took the hint,",Pride & Prejudice
"and when Mary had finished her second song, said aloud, ""That will do",Pride & Prejudice
"extremely well, child. You have delighted us long enough. Let the other",Pride & Prejudice
"young ladies have time to exhibit.""",Pride & Prejudice
,Pride & Prejudice
"Mary, though pretending not to hear, was somewhat disconcerted; and",Pride & Prejudice
"Elizabeth, sorry for her, and sorry for her father's speech, was afraid",Pride & Prejudice
her anxiety had done no good. Others of the party were now applied to.,Pride & Prejudice
,Pride & Prejudice
"""If I,"" said Mr. Collins, ""were so fortunate as to be able to sing, I",Pride & Prejudice
"should have great pleasure, I am sure, in obliging the company with an",Pride & Prejudice
"air; for I consider music as a very innocent diversion, and perfectly",Pride & Prejudice
"compatible with the profession of a clergyman. I do not mean, however,",Pride & Prejudice
to assert that we can be justified in devoting too much of our time,Pride & Prejudice
"to music, for there are certainly other things to be attended to. The",Pride & Prejudice
"rector of a parish has much to do. In the first place, he must make",Pride & Prejudice
such an agreement for tithes as may be beneficial to himself and not,Pride & Prejudice
offensive to his patron. He must write his own sermons; and the time,Pride & Prejudice
"that remains will not be too much for his parish duties, and the care",Pride & Prejudice
"and improvement of his dwelling, which he cannot be excused from making",Pride & Prejudice
as comfortable as possible. And I do not think it of light importance,Pride & Prejudice
"that he should have attentive and conciliatory manners towards everybody,",Pride & Prejudice
especially towards those to whom he owes his preferment. I cannot acquit,Pride & Prejudice
him of that duty; nor could I think well of the man who should omit an,Pride & Prejudice
occasion of testifying his respect towards anybody connected with the,Pride & Prejudice
"family."" And with a bow to Mr. Darcy, he concluded his speech, which had",Pride & Prejudice
been spoken so loud as to be heard by half the room. Many stared--many,Pride & Prejudice
"smiled; but no one looked more amused than Mr. Bennet himself, while his",Pride & Prejudice
"wife seriously commended Mr. Collins for having spoken so sensibly,",Pride & Prejudice
"and observed in a half-whisper to Lady Lucas, that he was a remarkably",Pride & Prejudice
"clever, good kind of young man.",Pride & Prejudice
,Pride & Prejudice
"To Elizabeth it appeared that, had her family made an agreement to",Pride & Prejudice
"expose themselves as much as they could during the evening, it would",Pride & Prejudice
have been impossible for them to play their parts with more spirit or,Pride & Prejudice
finer success; and happy did she think it for Bingley and her sister,Pride & Prejudice
"that some of the exhibition had escaped his notice, and that his",Pride & Prejudice
feelings were not of a sort to be much distressed by the folly which he,Pride & Prejudice
"must have witnessed. That his two sisters and Mr. Darcy, however, should",Pride & Prejudice
"have such an opportunity of ridiculing her relations, was bad enough,",Pride & Prejudice
and she could not determine whether the silent contempt of the,Pride & Prejudice
"gentleman, or the insolent smiles of the ladies, were more intolerable.",Pride & Prejudice
,Pride & Prejudice
The rest of the evening brought her little amusement. She was teased by,Pride & Prejudice
"Mr. Collins, who continued most perseveringly by her side, and though",Pride & Prejudice
"he could not prevail on her to dance with him again, put it out of her",Pride & Prejudice
power to dance with others. In vain did she entreat him to stand up with,Pride & Prejudice
"somebody else, and offer to introduce him to any young lady in the room.",Pride & Prejudice
"He assured her, that as to dancing, he was perfectly indifferent to it;",Pride & Prejudice
that his chief object was by delicate attentions to recommend himself to,Pride & Prejudice
her and that he should therefore make a point of remaining close to her,Pride & Prejudice
the whole evening. There was no arguing upon such a project. She owed,Pride & Prejudice
"her greatest relief to her friend Miss Lucas, who often joined them, and",Pride & Prejudice
good-naturedly engaged Mr. Collins's conversation to herself.,Pride & Prejudice
,Pride & Prejudice
She was at least free from the offense of Mr. Darcy's further notice;,Pride & Prejudice
"though often standing within a very short distance of her, quite",Pride & Prejudice
"disengaged, he never came near enough to speak. She felt it to be the",Pride & Prejudice
"probable consequence of her allusions to Mr. Wickham, and rejoiced in",Pride & Prejudice
it.,Pride & Prejudice
,Pride & Prejudice
"The Longbourn party were the last of all the company to depart, and, by",Pride & Prejudice
"a manoeuvre of Mrs. Bennet, had to wait for their carriage a quarter of",Pride & Prejudice
"an hour after everybody else was gone, which gave them time to see how",Pride & Prejudice
heartily they were wished away by some of the family. Mrs. Hurst and her,Pride & Prejudice
"sister scarcely opened their mouths, except to complain of fatigue, and",Pride & Prejudice
were evidently impatient to have the house to themselves. They repulsed,Pride & Prejudice
"every attempt of Mrs. Bennet at conversation, and by so doing threw a",Pride & Prejudice
"languor over the whole party, which was very little relieved by the",Pride & Prejudice
"long speeches of Mr. Collins, who was complimenting Mr. Bingley and his",Pride & Prejudice
"sisters on the elegance of their entertainment, and the hospitality and",Pride & Prejudice
politeness which had marked their behaviour to their guests. Darcy said,Pride & Prejudice
"nothing at all. Mr. Bennet, in equal silence, was enjoying the scene.",Pride & Prejudice
"Mr. Bingley and Jane were standing together, a little detached from the",Pride & Prejudice
"rest, and talked only to each other. Elizabeth preserved as steady a",Pride & Prejudice
silence as either Mrs. Hurst or Miss Bingley; and even Lydia was too,Pride & Prejudice
"much fatigued to utter more than the occasional exclamation of ""Lord,",Pride & Prejudice
"how tired I am!"" accompanied by a violent yawn.",Pride & Prejudice
,Pride & Prejudice
"When at length they arose to take leave, Mrs. Bennet was most pressingly",Pride & Prejudice
"civil in her hope of seeing the whole family soon at Longbourn, and",Pride & Prejudice
"addressed herself especially to Mr. Bingley, to assure him how happy he",Pride & Prejudice
"would make them by eating a family dinner with them at any time, without",Pride & Prejudice
"the ceremony of a formal invitation. Bingley was all grateful pleasure,",Pride & Prejudice
and he readily engaged for taking the earliest opportunity of waiting on,Pride & Prejudice
"her, after his return from London, whither he was obliged to go the next",Pride & Prejudice
day for a short time.,Pride & Prejudice
,Pride & Prejudice
"Mrs. Bennet was perfectly satisfied, and quitted the house under the",Pride & Prejudice
"delightful persuasion that, allowing for the necessary preparations of",Pride & Prejudice
"settlements, new carriages, and wedding clothes, she should undoubtedly",Pride & Prejudice
see her daughter settled at Netherfield in the course of three or four,Pride & Prejudice
"months. Of having another daughter married to Mr. Collins, she thought",Pride & Prejudice
"with equal certainty, and with considerable, though not equal, pleasure.",Pride & Prejudice
Elizabeth was the least dear to her of all her children; and though the,Pride & Prejudice
"man and the match were quite good enough for _her_, the worth of each",Pride & Prejudice
was eclipsed by Mr. Bingley and Netherfield.,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
Chapter 19,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
The next day opened a new scene at Longbourn. Mr. Collins made his,Pride & Prejudice
"declaration in form. Having resolved to do it without loss of time, as",Pride & Prejudice
"his leave of absence extended only to the following Saturday, and having",Pride & Prejudice
no feelings of diffidence to make it distressing to himself even at,Pride & Prejudice
"the moment, he set about it in a very orderly manner, with all the",Pride & Prejudice
"observances, which he supposed a regular part of the business. On",Pride & Prejudice
"finding Mrs. Bennet, Elizabeth, and one of the younger girls together,",Pride & Prejudice
"soon after breakfast, he addressed the mother in these words:",Pride & Prejudice
,Pride & Prejudice
"""May I hope, madam, for your interest with your fair daughter Elizabeth,",Pride & Prejudice
when I solicit for the honour of a private audience with her in the,Pride & Prejudice
"course of this morning?""",Pride & Prejudice
,Pride & Prejudice
"Before Elizabeth had time for anything but a blush of surprise, Mrs.",Pride & Prejudice
"Bennet answered instantly, ""Oh dear!--yes--certainly. I am sure Lizzy",Pride & Prejudice
"will be very happy--I am sure she can have no objection. Come, Kitty, I",Pride & Prejudice
"want you up stairs."" And, gathering her work together, she was hastening",Pride & Prejudice
"away, when Elizabeth called out:",Pride & Prejudice
,Pride & Prejudice
"""Dear madam, do not go. I beg you will not go. Mr. Collins must excuse",Pride & Prejudice
me. He can have nothing to say to me that anybody need not hear. I am,Pride & Prejudice
"going away myself.""",Pride & Prejudice
,Pride & Prejudice
"""No, no, nonsense, Lizzy. I desire you to stay where you are."" And upon",Pride & Prejudice
"Elizabeth's seeming really, with vexed and embarrassed looks, about to",Pride & Prejudice
"escape, she added: ""Lizzy, I _insist_ upon your staying and hearing Mr.",Pride & Prejudice
"Collins.""",Pride & Prejudice
,Pride & Prejudice
Elizabeth would not oppose such an injunction--and a moment's,Pride & Prejudice
consideration making her also sensible that it would be wisest to get it,Pride & Prejudice
"over as soon and as quietly as possible, she sat down again and tried to",Pride & Prejudice
"conceal, by incessant employment the feelings which were divided between",Pride & Prejudice
"distress and diversion. Mrs. Bennet and Kitty walked off, and as soon as",Pride & Prejudice
"they were gone, Mr. Collins began.",Pride & Prejudice
,Pride & Prejudice
"""Believe me, my dear Miss Elizabeth, that your modesty, so far from",Pride & Prejudice
"doing you any disservice, rather adds to your other perfections. You",Pride & Prejudice
would have been less amiable in my eyes had there _not_ been this little,Pride & Prejudice
"unwillingness; but allow me to assure you, that I have your respected",Pride & Prejudice
mother's permission for this address. You can hardly doubt the,Pride & Prejudice
"purport of my discourse, however your natural delicacy may lead you to",Pride & Prejudice
dissemble; my attentions have been too marked to be mistaken. Almost as,Pride & Prejudice
"soon as I entered the house, I singled you out as the companion of",Pride & Prejudice
my future life. But before I am run away with by my feelings on this,Pride & Prejudice
"subject, perhaps it would be advisable for me to state my reasons for",Pride & Prejudice
"marrying--and, moreover, for coming into Hertfordshire with the design",Pride & Prejudice
"of selecting a wife, as I certainly did.""",Pride & Prejudice
,Pride & Prejudice
"The idea of Mr. Collins, with all his solemn composure, being run away",Pride & Prejudice
"with by his feelings, made Elizabeth so near laughing, that she could",Pride & Prejudice
"not use the short pause he allowed in any attempt to stop him further,",Pride & Prejudice
and he continued:,Pride & Prejudice
,Pride & Prejudice
"""My reasons for marrying are, first, that I think it a right thing for",Pride & Prejudice
every clergyman in easy circumstances (like myself) to set the example,Pride & Prejudice
"of matrimony in his parish; secondly, that I am convinced that it will",Pride & Prejudice
add very greatly to my happiness; and thirdly--which perhaps I ought,Pride & Prejudice
"to have mentioned earlier, that it is the particular advice and",Pride & Prejudice
recommendation of the very noble lady whom I have the honour of calling,Pride & Prejudice
patroness. Twice has she condescended to give me her opinion (unasked,Pride & Prejudice
too!) on this subject; and it was but the very Saturday night before I,Pride & Prejudice
"left Hunsford--between our pools at quadrille, while Mrs. Jenkinson was",Pride & Prejudice
"arranging Miss de Bourgh's footstool, that she said, 'Mr. Collins, you",Pride & Prejudice
"must marry. A clergyman like you must marry. Choose properly, choose",Pride & Prejudice
"a gentlewoman for _my_ sake; and for your _own_, let her be an active,",Pride & Prejudice
"useful sort of person, not brought up high, but able to make a small",Pride & Prejudice
income go a good way. This is my advice. Find such a woman as soon as,Pride & Prejudice
"you can, bring her to Hunsford, and I will visit her.' Allow me, by the",Pride & Prejudice
"way, to observe, my fair cousin, that I do not reckon the notice",Pride & Prejudice
and kindness of Lady Catherine de Bourgh as among the least of the,Pride & Prejudice
advantages in my power to offer. You will find her manners beyond,Pride & Prejudice
"anything I can describe; and your wit and vivacity, I think, must be",Pride & Prejudice
"acceptable to her, especially when tempered with the silence and",Pride & Prejudice
respect which her rank will inevitably excite. Thus much for my general,Pride & Prejudice
intention in favour of matrimony; it remains to be told why my views,Pride & Prejudice
"were directed towards Longbourn instead of my own neighbourhood, where I",Pride & Prejudice
"can assure you there are many amiable young women. But the fact is, that",Pride & Prejudice
"being, as I am, to inherit this estate after the death of your honoured",Pride & Prejudice
"father (who, however, may live many years longer), I could not satisfy",Pride & Prejudice
"myself without resolving to choose a wife from among his daughters, that",Pride & Prejudice
"the loss to them might be as little as possible, when the melancholy",Pride & Prejudice
"event takes place--which, however, as I have already said, may not",Pride & Prejudice
"be for several years. This has been my motive, my fair cousin, and",Pride & Prejudice
I flatter myself it will not sink me in your esteem. And now nothing,Pride & Prejudice
remains for me but to assure you in the most animated language of the,Pride & Prejudice
"violence of my affection. To fortune I am perfectly indifferent, and",Pride & Prejudice
"shall make no demand of that nature on your father, since I am well",Pride & Prejudice
aware that it could not be complied with; and that one thousand pounds,Pride & Prejudice
"in the four per cents, which will not be yours till after your mother's",Pride & Prejudice
"decease, is all that you may ever be entitled to. On that head,",Pride & Prejudice
"therefore, I shall be uniformly silent; and you may assure yourself that",Pride & Prejudice
"no ungenerous reproach shall ever pass my lips when we are married.""",Pride & Prejudice
,Pride & Prejudice
It was absolutely necessary to interrupt him now.,Pride & Prejudice
,Pride & Prejudice
"""You are too hasty, sir,"" she cried. ""You forget that I have made no",Pride & Prejudice
answer. Let me do it without further loss of time. Accept my thanks for,Pride & Prejudice
the compliment you are paying me. I am very sensible of the honour of,Pride & Prejudice
"your proposals, but it is impossible for me to do otherwise than to",Pride & Prejudice
"decline them.""",Pride & Prejudice
,Pride & Prejudice
"""I am not now to learn,"" replied Mr. Collins, with a formal wave of the",Pride & Prejudice
"hand, ""that it is usual with young ladies to reject the addresses of the",Pride & Prejudice
"man whom they secretly mean to accept, when he first applies for their",Pride & Prejudice
"favour; and that sometimes the refusal is repeated a second, or even a",Pride & Prejudice
third time. I am therefore by no means discouraged by what you have just,Pride & Prejudice
"said, and shall hope to lead you to the altar ere long.""",Pride & Prejudice
,Pride & Prejudice
"""Upon my word, sir,"" cried Elizabeth, ""your hope is a rather",Pride & Prejudice
extraordinary one after my declaration. I do assure you that I am not,Pride & Prejudice
one of those young ladies (if such young ladies there are) who are so,Pride & Prejudice
daring as to risk their happiness on the chance of being asked a second,Pride & Prejudice
time. I am perfectly serious in my refusal. You could not make _me_,Pride & Prejudice
"happy, and I am convinced that I am the last woman in the world who",Pride & Prejudice
"could make you so. Nay, were your friend Lady Catherine to know me, I",Pride & Prejudice
am persuaded she would find me in every respect ill qualified for the,Pride & Prejudice
"situation.""",Pride & Prejudice
,Pride & Prejudice
"""Were it certain that Lady Catherine would think so,"" said Mr. Collins",Pride & Prejudice
"very gravely--""but I cannot imagine that her ladyship would at all",Pride & Prejudice
disapprove of you. And you may be certain when I have the honour of,Pride & Prejudice
"seeing her again, I shall speak in the very highest terms of your",Pride & Prejudice
"modesty, economy, and other amiable qualification.""",Pride & Prejudice
,Pride & Prejudice
"""Indeed, Mr. Collins, all praise of me will be unnecessary. You",Pride & Prejudice
"must give me leave to judge for myself, and pay me the compliment",Pride & Prejudice
"of believing what I say. I wish you very happy and very rich, and by",Pride & Prejudice
"refusing your hand, do all in my power to prevent your being otherwise.",Pride & Prejudice
"In making me the offer, you must have satisfied the delicacy of your",Pride & Prejudice
"feelings with regard to my family, and may take possession of Longbourn",Pride & Prejudice
"estate whenever it falls, without any self-reproach. This matter may",Pride & Prejudice
"be considered, therefore, as finally settled."" And rising as she",Pride & Prejudice
"thus spoke, she would have quitted the room, had Mr. Collins not thus",Pride & Prejudice
addressed her:,Pride & Prejudice
,Pride & Prejudice
"""When I do myself the honour of speaking to you next on the subject, I",Pride & Prejudice
shall hope to receive a more favourable answer than you have now given,Pride & Prejudice
"me; though I am far from accusing you of cruelty at present, because I",Pride & Prejudice
know it to be the established custom of your sex to reject a man on,Pride & Prejudice
"the first application, and perhaps you have even now said as much to",Pride & Prejudice
encourage my suit as would be consistent with the true delicacy of the,Pride & Prejudice
"female character.""",Pride & Prejudice
,Pride & Prejudice
"""Really, Mr. Collins,"" cried Elizabeth with some warmth, ""you puzzle me",Pride & Prejudice
exceedingly. If what I have hitherto said can appear to you in the form,Pride & Prejudice
"of encouragement, I know not how to express my refusal in such a way as",Pride & Prejudice
"to convince you of its being one.""",Pride & Prejudice
,Pride & Prejudice
"""You must give me leave to flatter myself, my dear cousin, that your",Pride & Prejudice
refusal of my addresses is merely words of course. My reasons for,Pride & Prejudice
believing it are briefly these: It does not appear to me that my hand is,Pride & Prejudice
"unworthy of your acceptance, or that the establishment I can offer would",Pride & Prejudice
"be any other than highly desirable. My situation in life, my connections",Pride & Prejudice
"with the family of de Bourgh, and my relationship to your own, are",Pride & Prejudice
circumstances highly in my favour; and you should take it into further,Pride & Prejudice
"consideration, that in spite of your manifold attractions, it is by no",Pride & Prejudice
means certain that another offer of marriage may ever be made you. Your,Pride & Prejudice
portion is unhappily so small that it will in all likelihood undo,Pride & Prejudice
the effects of your loveliness and amiable qualifications. As I must,Pride & Prejudice
"therefore conclude that you are not serious in your rejection of me,",Pride & Prejudice
I shall choose to attribute it to your wish of increasing my love by,Pride & Prejudice
"suspense, according to the usual practice of elegant females.""",Pride & Prejudice
,Pride & Prejudice
"""I do assure you, sir, that I have no pretensions whatever to that kind",Pride & Prejudice
of elegance which consists in tormenting a respectable man. I would,Pride & Prejudice
rather be paid the compliment of being believed sincere. I thank you,Pride & Prejudice
"again and again for the honour you have done me in your proposals, but",Pride & Prejudice
to accept them is absolutely impossible. My feelings in every respect,Pride & Prejudice
forbid it. Can I speak plainer? Do not consider me now as an elegant,Pride & Prejudice
"female, intending to plague you, but as a rational creature, speaking",Pride & Prejudice
"the truth from her heart.""",Pride & Prejudice
,Pride & Prejudice
"""You are uniformly charming!"" cried he, with an air of awkward",Pride & Prejudice
"gallantry; ""and I am persuaded that when sanctioned by the express",Pride & Prejudice
"authority of both your excellent parents, my proposals will not fail of",Pride & Prejudice
"being acceptable.""",Pride & Prejudice
,Pride & Prejudice
To such perseverance in wilful self-deception Elizabeth would make,Pride & Prejudice
"no reply, and immediately and in silence withdrew; determined, if",Pride & Prejudice
he persisted in considering her repeated refusals as flattering,Pride & Prejudice
"encouragement, to apply to her father, whose negative might be uttered",Pride & Prejudice
"in such a manner as to be decisive, and whose behaviour at least could",Pride & Prejudice
not be mistaken for the affectation and coquetry of an elegant female.,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
Chapter 20,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
Mr. Collins was not left long to the silent contemplation of his,Pride & Prejudice
"successful love; for Mrs. Bennet, having dawdled about in the vestibule",Pride & Prejudice
"to watch for the end of the conference, no sooner saw Elizabeth open",Pride & Prejudice
"the door and with quick step pass her towards the staircase, than she",Pride & Prejudice
"entered the breakfast-room, and congratulated both him and herself in",Pride & Prejudice
warm terms on the happy prospect of their nearer connection. Mr. Collins,Pride & Prejudice
"received and returned these felicitations with equal pleasure, and then",Pride & Prejudice
"proceeded to relate the particulars of their interview, with the result",Pride & Prejudice
"of which he trusted he had every reason to be satisfied, since the",Pride & Prejudice
refusal which his cousin had steadfastly given him would naturally flow,Pride & Prejudice
from her bashful modesty and the genuine delicacy of her character.,Pride & Prejudice
,Pride & Prejudice
"This information, however, startled Mrs. Bennet; she would have been",Pride & Prejudice
glad to be equally satisfied that her daughter had meant to encourage,Pride & Prejudice
"him by protesting against his proposals, but she dared not believe it,",Pride & Prejudice
and could not help saying so.,Pride & Prejudice
,Pride & Prejudice
"""But, depend upon it, Mr. Collins,"" she added, ""that Lizzy shall be",Pride & Prejudice
brought to reason. I will speak to her about it directly. She is a very,Pride & Prejudice
"headstrong, foolish girl, and does not know her own interest but I will",Pride & Prejudice
"_make_ her know it.""",Pride & Prejudice
,Pride & Prejudice
"""Pardon me for interrupting you, madam,"" cried Mr. Collins; ""but if",Pride & Prejudice
"she is really headstrong and foolish, I know not whether she would",Pride & Prejudice
"altogether be a very desirable wife to a man in my situation, who",Pride & Prejudice
naturally looks for happiness in the marriage state. If therefore she,Pride & Prejudice
"actually persists in rejecting my suit, perhaps it were better not",Pride & Prejudice
"to force her into accepting me, because if liable to such defects of",Pride & Prejudice
"temper, she could not contribute much to my felicity.""",Pride & Prejudice
,Pride & Prejudice
"""Sir, you quite misunderstand me,"" said Mrs. Bennet, alarmed. ""Lizzy is",Pride & Prejudice
only headstrong in such matters as these. In everything else she is as,Pride & Prejudice
"good-natured a girl as ever lived. I will go directly to Mr. Bennet, and",Pride & Prejudice
"we shall very soon settle it with her, I am sure.""",Pride & Prejudice
,Pride & Prejudice
"She would not give him time to reply, but hurrying instantly to her",Pride & Prejudice
"husband, called out as she entered the library, ""Oh! Mr. Bennet, you",Pride & Prejudice
are wanted immediately; we are all in an uproar. You must come and make,Pride & Prejudice
"Lizzy marry Mr. Collins, for she vows she will not have him, and if you",Pride & Prejudice
"do not make haste he will change his mind and not have _her_.""",Pride & Prejudice
,Pride & Prejudice
"Mr. Bennet raised his eyes from his book as she entered, and fixed them",Pride & Prejudice
on her face with a calm unconcern which was not in the least altered by,Pride & Prejudice
her communication.,Pride & Prejudice
,Pride & Prejudice
"""I have not the pleasure of understanding you,"" said he, when she had",Pride & Prejudice
"finished her speech. ""Of what are you talking?""",Pride & Prejudice
,Pride & Prejudice
"""Of Mr. Collins and Lizzy. Lizzy declares she will not have Mr. Collins,",Pride & Prejudice
"and Mr. Collins begins to say that he will not have Lizzy.""",Pride & Prejudice
,Pride & Prejudice
"""And what am I to do on the occasion? It seems an hopeless business.""",Pride & Prejudice
,Pride & Prejudice
"""Speak to Lizzy about it yourself. Tell her that you insist upon her",Pride & Prejudice
"marrying him.""",Pride & Prejudice
,Pride & Prejudice
"""Let her be called down. She shall hear my opinion.""",Pride & Prejudice
,Pride & Prejudice
"Mrs. Bennet rang the bell, and Miss Elizabeth was summoned to the",Pride & Prejudice
library.,Pride & Prejudice
,Pride & Prejudice
"""Come here, child,"" cried her father as she appeared. ""I have sent for",Pride & Prejudice
you on an affair of importance. I understand that Mr. Collins has made,Pride & Prejudice
"you an offer of marriage. Is it true?"" Elizabeth replied that it was.",Pride & Prejudice
"""Very well--and this offer of marriage you have refused?""",Pride & Prejudice
,Pride & Prejudice
"""I have, sir.""",Pride & Prejudice
,Pride & Prejudice
"""Very well. We now come to the point. Your mother insists upon your",Pride & Prejudice
"accepting it. Is it not so, Mrs. Bennet?""",Pride & Prejudice
,Pride & Prejudice
"""Yes, or I will never see her again.""",Pride & Prejudice
,Pride & Prejudice
"""An unhappy alternative is before you, Elizabeth. From this day you must",Pride & Prejudice
be a stranger to one of your parents. Your mother will never see you,Pride & Prejudice
"again if you do _not_ marry Mr. Collins, and I will never see you again",Pride & Prejudice
"if you _do_.""",Pride & Prejudice
